Date,AAPL,ADBE,COP,CSCO,CVX,EMR,EOG,FB,GE,GOOG,IBM,INTC,MSFT,NVDA,ORCL,OXY,PSX,SLB,VLO,XOM
2018-06-18,188.740005493,255.690002441,66.5999984741,44.2099990845,125.970001221,72.1399993896,116.620002747,198.309997559,12.6923074722,1173.45996094,144.479995728,53.2200012207,100.86000061,265.089996338,46.5200004578,83.7900009155,114.940002441,67.0400009155,116.540000916,80.8199996948
2018-06-19,185.690002441,251.740005493,66.2600021362,43.8199996948,125.540000916,70.5599975586,117.080001831,197.490005493,12.4519233704,1168.06005859,143.899993896,52.9300003052,100.86000061,260.170013428,46.2700004578,82.5800018311,114.580001831,65.6999969482,116.620002747,80.6999969482
2018-06-20,186.5,251.240005493,67.4700012207,43.7400016785,125.290000916,70.3899993896,119.430000305,202.0,12.3846149445,1169.83996582,142.630004883,53.4599990845,101.870002747,262.309997559,42.8199996948,83.2399978638,114.589996338,65.5500030518,115.730003357,80.4499969482
2018-06-21,185.460006714,248.830001831,65.1100006104,43.1599998474,122.589996338,69.1999969482,116.599998474,201.5,12.2692308426,1157.66003418,141.25,52.1899986267,101.13999939,257.109985352,43.0999984741,82.0899963379,111.449996948,64.7900009155,111.220001221,79.6900024414
2018-06-22,184.919998169,243.630004883,67.7799987793,43.2000007629,125.099998474,69.8700027466,118.510002136,201.740005493,12.5480766296,1155.47998047,141.279998779,52.5,100.410003662,250.949996948,44.0999984741,83.3300018311,112.019996643,66.5800018311,112.239997864,81.3799972534
2018-06-25,182.169998169,239.679992676,66.1399993896,42.2900009155,122.61000061,69.1500015259,116.830001831,196.350006104,12.2596149445,1124.81005859,138.789993286,50.7099990845,98.3899993896,239.119995117,44.2799987793,81.3499984741,110.449996948,65.4300003052,109.260002136,79.7399978638
2018-06-26,184.429992676,242.25,67.3399963379,42.5499992371,124.160003662,68.9499969482,119.680000305,199.0,13.2115383148,1118.45996094,139.080001831,49.6699981689,99.0800018311,241.990005493,44.4099998474,82.6800003052,110.809997559,66.0199966431,110.25,80.6399993896
2018-06-27,184.160003662,237.679992676,68.7399978638,42.3300018311,126.0,68.5500030518,123.930000305,195.839996338,13.4230766296,1103.97998047,137.479995728,48.7599983215,97.5400009155,235.720001221,43.4500007629,83.7699966431,110.709999084,66.8099975586,109.519996643,81.7099990845
2018-06-28,185.5,239.809997559,68.4100036621,42.9399986267,125.660003662,68.5899963379,123.5,196.229995728,13.2980766296,1114.2199707,140.039993286,49.25,98.6299972534,240.86000061,43.8400001526,83.4000015259,111.739997864,67.0100021362,109.11000061,81.9700012207
2018-06-29,185.11000061,243.809997559,69.6200027466,43.0299987793,126.430000305,69.1399993896,124.430000305,194.320007324,13.0865383148,1115.65002441,139.699996948,49.7099990845,98.6100006104,236.899993896,44.0600013733,83.6800003052,112.309997559,67.0299987793,110.830001831,82.7300033569
2018-07-02,187.179992676,243.259994507,68.5899963379,42.8100013733,124.25,69.4400024414,122.400001526,197.36000061,12.8557691574,1127.45996094,139.86000061,50.2000007629,100.010002136,242.240005493,44.9500007629,82.5199966431,110.61000061,65.2099990845,109.230003357,81.7600021362
2018-07-03,183.919998169,242.009994507,69.5599975586,42.6699981689,124.730003357,68.7699966431,122.430000305,192.729995728,12.8557691574,1102.89001465,139.570007324,49.4700012207,99.0500030518,236.839996338,44.7200012207,83.8600006104,110.510002136,65.8399963379,108.169998169,82.2399978638
2018-07-05,185.399993896,244.179992676,68.9300003052,42.5600013733,123.980003357,69.1800003052,123.220001221,198.449996948,12.9134616852,1124.27001953,141.429992676,50.75,99.7600021362,242.729995728,45.4099998474,84.1900024414,110.150001526,66.4300003052,107.529998779,82.3099975586
2018-07-06,187.970001221,248.190002441,69.6500015259,42.7099990845,124.13999939,69.2799987793,124.349998474,203.229995728,13.3173074722,1140.17004395,142.479995728,51.3699989319,101.160003662,247.330001831,46.0,84.25,111.180000305,67.0299987793,107.830001831,82.3300018311
2018-07-09,190.580001831,249.770004272,71.0,42.6699981689,125.989997864,70.8399963379,126.129997253,204.740005493,13.4134616852,1154.05004883,144.38999939,51.8600006104,101.849998474,249.25,46.7299995422,85.25,112.589996338,68.3399963379,109.269996643,82.9000015259
